1788556958.275127 server started (14521): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788556958.275150 on Linux 7.1.13-200.fc44.x86_64 #1 SMP PREEMPT_DYNAMIC Wed Sep  2 13:58:38 UTC 2026
1788556958.275167 using libevent 2.1.12-stable poll
1788556958.275174 using ncurses 6.6 20251230
1788556958.275567 input_key_build: 0x20020000000a (C-F3) is \033[1;5R
1788556958.275574 input_key_build: 0x20020000000b (C-F4) is \033[1;5S
1788556958.275581 input_key_build: 0x20020000000c (C-F5) is \033[15;5~
1788556958.275589 input_key_build: 0x20020000000d (C-F6) is \033[17;5~
1788556958.275594 input_key_build: 0x20020000000e (C-F7) is \033[18;5~
1788556958.275603 input_key_build: 0x20020000000f (C-F8) is \033[19;5~
1788556958.275609 input_key_build: 0x200200000010 (C-F9) is \033[20;5~
1788556958.275616 input_key_build: 0x200200000011 (C-F10) is \033[21;5~
1788556958.275623 input_key_build: 0x200200000012 (C-F11) is \033[23;5~
1788556958.275630 input_key_build: 0x200200000013 (C-F12) is \033[24;5~
1788556958.275637 input_key_build: 0x200200000014 (C-IC) is \033[2;5~
1788556958.275644 input_key_build: 0x200200000015 (C-DC) is \033[3;5~
1788556958.275651 input_key_build: 0x200200000016 (C-Home) is \033[1;5H
1788556958.275657 input_key_build: 0x200200000017 (C-End) is \033[1;5F
1788556958.275665 input_key_build: 0x200200000018 (C-NPage) is \033[6;5~
1788556958.275672 input_key_build: 0x200200000019 (C-PPage) is \033[5;5~
1788556958.275685 input_key_build: 0x20020000001b (C-Up) is \033[1;5A
1788556958.275694 input_key_build: 0x20020000001c (C-Down) is \033[1;5B
1788556958.275701 input_key_build: 0x20020000001d (C-Left) is \033[1;5D
1788556958.275708 input_key_build: 0x20020000001e (C-Right) is \033[1;5C
1788556958.275717 input_key_build: 0x400200000008 (S-F1) is \033[1;2P
1788556958.275723 input_key_build: 0x400200000009 (S-F2) is \033[1;2Q
1788556958.275730 input_key_build: 0x40020000000a (S-F3) is \033[1;2R
1788556958.275737 input_key_build: 0x40020000000b (S-F4) is \033[1;2S
1788556958.275744 input_key_build: 0x40020000000c (S-F5) is \033[15;2~
1788556958.275751 input_key_build: 0x40020000000d (S-F6) is \033[17;2~
1788556958.275758 input_key_build: 0x40020000000e (S-F7) is \033[18;2~
1788556958.275764 input_key_build: 0x40020000000f (S-F8) is \033[19;2~
1788556958.275771 input_key_build: 0x400200000010 (S-F9) is \033[20;2~
1788556958.275777 input_key_build: 0x400200000011 (S-F10) is \033[21;2~
1788556958.275784 input_key_build: 0x400200000012 (S-F11) is \033[23;2~
1788556958.275792 input_key_build: 0x400200000013 (S-F12) is \033[24;2~
1788556958.275814 input_key_build: 0x400200000014 (S-IC) is \033[2;2~
1788556958.275820 input_key_build: 0x400200000015 (S-DC) is \033[3;2~
1788556958.275827 input_key_build: 0x400200000016 (S-Home) is \033[1;2H
1788556958.275834 input_key_build: 0x400200000017 (S-End) is \033[1;2F
1788556958.275840 input_key_build: 0x400200000018 (S-NPage) is \033[6;2~
1788556958.275849 input_key_build: 0x400200000019 (S-PPage) is \033[5;2~
1788556958.275855 input_key_build: 0x40020000001b (S-Up) is \033[1;2A
1788556958.275862 input_key_build: 0x40020000001c (S-Down) is \033[1;2B
1788556958.275868 input_key_build: 0x40020000001d (S-Left) is \033[1;2D
1788556958.275875 input_key_build: 0x40020000001e (S-Right) is \033[1;2C
1788556958.275882 input_key_build: 0x600200000008 (C-S-F1) is \033[1;6P
1788556958.275889 input_key_build: 0x600200000009 (C-S-F2) is \033[1;6Q
1788556958.275895 input_key_build: 0x60020000000a (C-S-F3) is \033[1;6R
1788556958.275902 input_key_build: 0x60020000000b (C-S-F4) is \033[1;6S
1788556958.275909 input_key_build: 0x60020000000c (C-S-F5) is \033[15;6~
1788556958.275917 input_key_build: 0x60020000000d (C-S-F6) is \033[17;6~
1788556958.275925 input_key_build: 0x60020000000e (C-S-F7) is \033[18;6~
1788556958.275931 input_key_build: 0x60020000000f (C-S-F8) is \033[19;6~
1788556958.275936 input_key_build: 0x600200000010 (C-S-F9) is \033[20;6~
1788556958.275945 input_key_build: 0x600200000011 (C-S-F10) is \033[21;6~
1788556958.275951 input_key_build: 0x600200000012 (C-S-F11) is \033[23;6~
1788556958.275958 input_key_build: 0x600200000013 (C-S-F12) is \033[24;6~
1788556958.275964 input_key_build: 0x600200000014 (C-S-IC) is \033[2;6~
1788556958.275970 input_key_build: 0x600200000015 (C-S-DC) is \033[3;6~
1788556958.275977 input_key_build: 0x600200000016 (C-S-Home) is \033[1;6H
1788556958.275983 input_key_build: 0x600200000017 (C-S-End) is \033[1;6F
1788556958.275990 input_key_build: 0x600200000018 (C-S-NPage) is \033[6;6~
1788556958.275996 input_key_build: 0x600200000019 (C-S-PPage) is \033[5;6~
1788556958.276003 input_key_build: 0x60020000001b (C-S-Up) is \033[1;6A
1788556958.276009 input_key_build: 0x60020000001c (C-S-Down) is \033[1;6B
1788556958.276016 input_key_build: 0x60020000001d (C-S-Left) is \033[1;6D
1788556958.276023 input_key_build: 0x60020000001e (C-S-Right) is \033[1;6C
1788556958.276030 input_key_build: 0x200020000001f (KP/[K]) is \033Oo
1788556958.276037 input_key_build: 0x2000200000020 (KP*[K]) is \033Oj
1788556958.276044 input_key_build: 0x2000200000021 (KP-[K]) is \033Om
1788556958.276049 input_key_build: 0x2000200000022 (KP7[K]) is \033Ow
1788556958.276056 input_key_build: 0x2000200000023 (KP8[K]) is \033Ox
1788556958.276063 input_key_build: 0x2000200000024 (KP9[K]) is \033Oy
1788556958.276071 input_key_build: 0x2000200000025 (KP+[K]) is \033Ok
1788556958.276079 input_key_build: 0x2000200000026 (KP4[K]) is \033Ot
1788556958.276086 input_key_build: 0x2000200000027 (KP5[K]) is \033Ou
1788556958.276097 input_key_build: 0x2000200000028 (KP6[K]) is \033Ov
1788556958.276106 input_key_build: 0x2000200000029 (KP1[K]) is \033Oq
1788556958.276112 input_key_build: 0x200020000002a (KP2[K]) is \033Or
1788556958.276119 input_key_build: 0x200020000002b (KP3[K]) is \033Os
1788556958.276126 input_key_build: 0x200020000002c (KPEnter[K]) is \033OM
1788556958.276134 input_key_build: 0x200020000002d (KP0[K]) is \033Op
1788556958.276139 input_key_build: 0x200020000002e (KP.[K]) is \033On
1788556958.276147 input_key_build: 0x400020000001b (Up[C]) is \033OA
1788556958.276154 input_key_build: 0x400020000001c (Down[C]) is \033OB
1788556958.276161 input_key_build: 0x400020000001d (Left[C]) is \033OD
1788556958.276168 input_key_build: 0x400020000001e (Right[C]) is \033OC
1788556958.276175 input_key_build: 0x8000200000005 (PasteStart[I]) is \033[200~
1788556958.276182 input_key_build: 0x8000200000006 (PasteEnd[I]) is \033[201~
1788556958.276189 input_key_build: 0x8100200000008 (M-F1[I]) is \033[1;3P
1788556958.276196 input_key_build: 0x8100200000009 (M-F2[I]) is \033[1;3Q
1788556958.276204 input_key_build: 0x810020000000a (M-F3[I]) is \033[1;3R
1788556958.276210 input_key_build: 0x810020000000b (M-F4[I]) is \033[1;3S
1788556958.276217 input_key_build: 0x810020000000c (M-F5[I]) is \033[15;3~
1788556958.276224 input_key_build: 0x810020000000d (M-F6[I]) is \033[17;3~
1788556958.276231 input_key_build: 0x810020000000e (M-F7[I]) is \033[18;3~
1788556958.276238 input_key_build: 0x810020000000f (M-F8[I]) is \033[19;3~
1788556958.276245 input_key_build: 0x8100200000010 (M-F9[I]) is \033[20;3~
1788556958.276252 input_key_build: 0x8100200000011 (M-F10[I]) is \033[21;3~
1788556958.276259 input_key_build: 0x8100200000012 (M-F11[I]) is \033[23;3~
1788556958.276267 input_key_build: 0x8100200000013 (M-F12[I]) is \033[24;3~
1788556958.276274 input_key_build: 0x8100200000014 (M-IC[I]) is \033[2;3~
1788556958.276280 input_key_build: 0x8100200000015 (M-DC[I]) is \033[3;3~
1788556958.276286 input_key_build: 0x8100200000016 (M-Home[I]) is \033[1;3H
1788556958.276293 input_key_build: 0x8100200000017 (M-End[I]) is \033[1;3F
1788556958.276300 input_key_build: 0x8100200000018 (M-NPage[I]) is \033[6;3~
1788556958.276306 input_key_build: 0x8100200000019 (M-PPage[I]) is \033[5;3~
1788556958.276313 input_key_build: 0x810020000001b (M-Up[I]) is \033[1;3A
1788556958.276320 input_key_build: 0x810020000001c (M-Down[I]) is \033[1;3B
1788556958.276327 input_key_build: 0x810020000001d (M-Left[I]) is \033[1;3D
1788556958.276333 input_key_build: 0x810020000001e (M-Right[I]) is \033[1;3C
1788556958.276340 input_key_build: 0x8300200000008 (C-M-F1[I]) is \033[1;7P
1788556958.276346 input_key_build: 0x8300200000009 (C-M-F2[I]) is \033[1;7Q
1788556958.276353 input_key_build: 0x830020000000a (C-M-F3[I]) is \033[1;7R
1788556958.276359 input_key_build: 0x830020000000b (C-M-F4[I]) is \033[1;7S
1788556958.276366 input_key_build: 0x830020000000c (C-M-F5[I]) is \033[15;7~
1788556958.276371 input_key_build: 0x830020000000d (C-M-F6[I]) is \033[17;7~
1788556958.276378 input_key_build: 0x830020000000e (C-M-F7[I]) is \033[18;7~
1788556958.276385 input_key_build: 0x830020000000f (C-M-F8[I]) is \033[19;7~
1788556958.276391 input_key_build: 0x8300200000010 (C-M-F9[I]) is \033[20;7~
1788556958.276398 input_key_build: 0x8300200000011 (C-M-F10[I]) is \033[21;7~
1788556958.276405 input_key_build: 0x8300200000012 (C-M-F11[I]) is \033[23;7~
1788556958.276413 input_key_build: 0x8300200000013 (C-M-F12[I]) is \033[24;7~
1788556958.276418 input_key_build: 0x8300200000014 (C-M-IC[I]) is \033[2;7~
1788556958.276426 input_key_build: 0x8300200000015 (C-M-DC[I]) is \033[3;7~
1788556958.276433 input_key_build: 0x8300200000016 (C-M-Home[I]) is \033[1;7H
1788556958.276440 input_key_build: 0x8300200000017 (C-M-End[I]) is \033[1;7F
1788556958.276447 input_key_build: 0x8300200000018 (C-M-NPage[I]) is \033[6;7~
1788556958.276454 input_key_build: 0x8300200000019 (C-M-PPage[I]) is \033[5;7~
1788556958.276460 input_key_build: 0x830020000001b (C-M-Up[I]) is \033[1;7A
1788556958.276467 input_key_build: 0x830020000001c (C-M-Down[I]) is \033[1;7B
1788556958.276478 input_key_build: 0x830020000001d (C-M-Left[I]) is \033[1;7D
1788556958.276487 input_key_build: 0x830020000001e (C-M-Right[I]) is \033[1;7C
1788556958.276494 input_key_build: 0x8500200000008 (M-S-F1[I]) is \033[1;4P
1788556958.276502 input_key_build: 0x8500200000009 (M-S-F2[I]) is \033[1;4Q
1788556958.276509 input_key_build: 0x850020000000a (M-S-F3[I]) is \033[1;4R
1788556958.276515 input_key_build: 0x850020000000b (M-S-F4[I]) is \033[1;4S
1788556958.276522 input_key_build: 0x850020000000c (M-S-F5[I]) is \033[15;4~
1788556958.276529 input_key_build: 0x850020000000d (M-S-F6[I]) is \033[17;4~
1788556958.276536 input_key_build: 0x850020000000e (M-S-F7[I]) is \033[18;4~
1788556958.276543 input_key_build: 0x850020000000f (M-S-F8[I]) is \033[19;4~
1788556958.276550 input_key_build: 0x8500200000010 (M-S-F9[I]) is \033[20;4~
1788556958.276557 input_key_build: 0x8500200000011 (M-S-F10[I]) is \033[21;4~
1788556958.276565 input_key_build: 0x8500200000012 (M-S-F11[I]) is \033[23;4~
1788556958.276572 input_key_build: 0x8500200000013 (M-S-F12[I]) is \033[24;4~
1788556958.276578 input_key_build: 0x8500200000014 (M-S-IC[I]) is \033[2;4~
1788556958.276585 input_key_build: 0x8500200000015 (M-S-DC[I]) is \033[3;4~
1788556958.276591 input_key_build: 0x8500200000016 (M-S-Home[I]) is \033[1;4H
1788556958.276598 input_key_build: 0x8500200000017 (M-S-End[I]) is \033[1;4F
1788556958.276605 input_key_build: 0x8500200000018 (M-S-NPage[I]) is \033[6;4~
1788556958.276612 input_key_build: 0x8500200000019 (M-S-PPage[I]) is \033[5;4~
1788556958.276619 input_key_build: 0x850020000001b (M-S-Up[I]) is \033[1;4A
1788556958.276626 input_key_build: 0x850020000001c (M-S-Down[I]) is \033[1;4B
1788556958.276633 input_key_build: 0x850020000001d (M-S-Left[I]) is \033[1;4D
1788556958.276641 input_key_build: 0x850020000001e (M-S-Right[I]) is \033[1;4C
1788556958.276648 input_key_build: 0x8700200000008 (C-M-S-F1[I]) is \033[1;8P
1788556958.276654 input_key_build: 0x8700200000009 (C-M-S-F2[I]) is \033[1;8Q
1788556958.276661 input_key_build: 0x870020000000a (C-M-S-F3[I]) is \033[1;8R
1788556958.276668 input_key_build: 0x870020000000b (C-M-S-F4[I]) is \033[1;8S
1788556958.276674 input_key_build: 0x870020000000c (C-M-S-F5[I]) is \033[15;8~
1788556958.276681 input_key_build: 0x870020000000d (C-M-S-F6[I]) is \033[17;8~
1788556958.276687 input_key_build: 0x870020000000e (C-M-S-F7[I]) is \033[18;8~
1788556958.276694 input_key_build: 0x870020000000f (C-M-S-F8[I]) is \033[19;8~
1788556958.276700 input_key_build: 0x8700200000010 (C-M-S-F9[I]) is \033[20;8~
1788556958.276707 input_key_build: 0x8700200000011 (C-M-S-F10[I]) is \033[21;8~
1788556958.276714 input_key_build: 0x8700200000012 (C-M-S-F11[I]) is \033[23;8~
1788556958.276721 input_key_build: 0x8700200000013 (C-M-S-F12[I]) is \033[24;8~
1788556958.276728 input_key_build: 0x8700200000014 (C-M-S-IC[I]) is \033[2;8~
1788556958.276734 input_key_build: 0x8700200000015 (C-M-S-DC[I]) is \033[3;8~
1788556958.276740 input_key_build: 0x8700200000016 (C-M-S-Home[I]) is \033[1;8H
1788556958.276749 input_key_build: 0x8700200000017 (C-M-S-End[I]) is \033[1;8F
1788556958.276755 input_key_build: 0x8700200000018 (C-M-S-NPage[I]) is \033[6;8~
1788556958.276762 input_key_build: 0x8700200000019 (C-M-S-PPage[I]) is \033[5;8~
1788556958.276769 input_key_build: 0x870020000001b (C-M-S-Up[I]) is \033[1;8A
1788556958.276776 input_key_build: 0x870020000001c (C-M-S-Down[I]) is \033[1;8B
1788556958.276783 input_key_build: 0x870020000001d (C-M-S-Left[I]) is \033[1;8D
1788556958.276790 input_key_build: 0x870020000001e (C-M-S-Right[I]) is \033[1;8C
1788556958.276835 yylex_token: end at WS
1788556958.276842 yylex_token: bind
1788556958.276851 yylex_token: end at WS
1788556958.276858 yylex_token: -N
1788556958.276865 yylex_token: end at WS
1788556958.276871 yylex_token: Send the prefix key
1788556958.276878 yylex_token: end at WS
1788556958.276884 yylex_token: C-b
1788556958.276891 yylex_token: end at WS
1788556958.276897 yylex_token: send-prefix
1788556958.276906 cmd_parse_build_commands 0:0: bind
1788556958.276918 cmd_parse_build_commands 0:1: -N
1788556958.276927 cmd_parse_build_commands 0:2: Send the prefix key
1788556958.276934 cmd_parse_build_commands 0:3: C-b
1788556958.276940 cmd_parse_build_commands 0:4 0:0: send-prefix
1788556958.276955 cmd_parse_build_commands 0:0: send-prefix
1788556958.276972 args_parse: flags end at 1 of 1
1788556958.276979 cmd_parse_build_commands: send-prefix
1788556958.276987 args_parse_flags: next -N
1788556958.276993 args_parse_flag_argument: -N = Send the prefix key
1788556958.276999 args_parse_flags: next C-b
1788556958.277007 args_parse: flags end at 3 of 5
1788556958.277013 args_parse: 3 = C-b (type STRING)
1788556958.277022 args_parse: 4 = send-prefix (type COMMANDS)
1788556958.277034 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1788556958.277042 cmdq_get_command: [bind-key/0x55e89ab062b0] group 6
1788556958.277049 cmdq_append <global>: [bind-key/0x55e89ab062b0]
1788556958.277056 yylex_token: end at WS
1788556958.277063 yylex_token: bind
1788556958.277070 yylex_token: end at WS
1788556958.277077 yylex_token: -N
1788556958.277085 yylex_token: end at WS
1788556958.277091 yylex_token: Rotate through the panes
1788556958.277098 yylex_token: end at WS
1788556958.277105 yylex_token: C-o
1788556958.277112 yylex_token: end at WS
1788556958.277118 yylex_token: rotate-window
1788556958.277126 cmd_parse_build_commands 0:0: bind
1788556958.277133 cmd_parse_build_commands 0:1: -N
1788556958.277140 cmd_parse_build_commands 0:2: Rotate through the panes
1788556958.277146 cmd_parse_build_commands 0:3: C-o
1788556958.277153 cmd_parse_build_commands 0:4 0:0: rotate-window
1788556958.277161 cmd_parse_build_commands 0:0: rotate-window
1788556958.277169 args_parse: flags end at 1 of 1
1788556958.277176 cmd_parse_build_commands: rotate-window
1788556958.277183 args_parse_flags: next -N
1788556958.277190 args_parse_flag_argument: -N = Rotate through the panes
1788556958.277199 args_parse_flags: next C-o
1788556958.277206 args_parse: flags end at 3 of 5
1788556958.277212 args_parse: 3 = C-o (type STRING)
1788556958.277220 args_parse: 4 = rotate-window (type COMMANDS)
1788556958.277229 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1788556958.277237 cmdq_get_command: [bind-key/0x55e89ab067f0] group 14
1788556958.277244 cmdq_append <global>: [bind-key/0x55e89ab067f0]
1788556958.277251 yylex_token: end at WS
1788556958.277257 yylex_token: bind
1788556958.277264 yylex_token: end at WS
1788556958.277270 yylex_token: -N
1788556958.277277 yylex_token: end at WS
1788556958.277283 yylex_token: Suspend the current client
1788556958.277290 yylex_token: end at WS
1788556958.277296 yylex_token: C-z
1788556958.277303 yylex_token: end at WS
1788556958.277310 yylex_token: suspend-client
1788556958.277317 cmd_parse_build_commands 0:0: bind
1788556958.277324 cmd_parse_build_commands 0:1: -N
1788556958.277332 cmd_parse_build_commands 0:2: Suspend the current client
1788556958.277339 cmd_parse_build_commands 0:3: C-z
1788556958.277346 cmd_parse_build_commands 0:4 0:0: suspend-client
1788556958.277353 cmd_parse_build_commands 0:0: suspend-client
1788556958.277361 args_parse: flags end at 1 of 1
1788556958.277367 cmd_parse_build_commands: suspend-client
1788556958.277374 args_parse_flags: next -N
1788556958.277381 args_parse_flag_argument: -N = Suspend the current client
1788556958.277389 args_parse_flags: next C-z
1788556958.277394 args_parse: flags end at 3 of 5
1788556958.277402 args_parse: 3 = C-z (type STRING)
1788556958.277409 args_parse: 4 = suspend-client (type COMMANDS)
1788556958.277418 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1788556958.277425 cmdq_get_command: [bind-key/0x55e89ab06e10] group 22
1788556958.277431 cmdq_append <global>: [bind-key/0x55e89ab06e10]
1788556958.277438 yylex_token: end at WS
1788556958.277443 yylex_token: bind
1788556958.277451 yylex_token: end at WS
1788556958.277459 yylex_token: -N
1788556958.277465 yylex_token: end at WS
1788556958.277472 yylex_token: Select next layout
1788556958.277482 yylex_token: end at WS
1788556958.277489 yylex_token: Space
1788556958.277497 yylex_token: end at WS
1788556958.277503 yylex_token: next-layout
1788556958.277508 cmd_parse_build_commands 0:0: bind
1788556958.277516 cmd_parse_build_commands 0:1: -N
1788556958.277522 cmd_parse_build_commands 0:2: Select next layout
1788556958.277527 cmd_parse_build_commands 0:3: Space
1788556958.277535 cmd_parse_build_commands 0:4 0:0: next-layout
1788556958.277544 cmd_parse_build_commands 0:0: next-layout
1788556958.277551 args_parse: flags end at 1 of 1
1788556958.277558 cmd_parse_build_commands: next-layout
1788556958.277564 args_parse_flags: next -N
1788556958.277570 args_parse_flag_argument: -N = Select next layout
1788556958.277576 args_parse_flags: next Space
1788556958.277582 args_parse: flags end at 3 of 5
1788556958.277589 args_parse: 3 = Space (type STRING)
1788556958.277595 args_parse: 4 = next-layout (type COMMANDS)
1788556958.277603 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1788556958.277611 cmdq_get_command: [bind-key/0x55e89ab072a0] group 30
1788556958.277616 cmdq_append <global>: [bind-key/0x55e89ab072a0]
1788556958.277622 yylex_token: end at WS
1788556958.277628 yylex_token: bind
1788556958.277634 yylex_token: end at WS
1788556958.277640 yylex_token: -N
1788556958.277646 yylex_token: end at WS
1788556958.277652 yylex_token: Break pane to a new window
1788556958.277658 yylex_token: end at WS
1788556958.277664 yylex_token: !
1788556958.277671 yylex_token: end at WS
1788556958.277677 yylex_token: break-pane
1788556958.277683 cmd_parse_build_commands 0:0: bind
1788556958.277689 cmd_parse_build_commands 0:1: -N
1788556958.277695 cmd_parse_build_commands 0:2: Break pane to a new window
1788556958.277701 cmd_parse_build_commands 0:3: !
1788556958.277708 cmd_parse_build_commands 0:4 0:0: break-pane
1788556958.277714 cmd_parse_build_commands 0:0: break-pane
1788556958.277720 args_parse: flags end at 1 of 1
1788556958.277727 cmd_parse_build_commands: break-pane
1788556958.277733 args_parse_flags: next -N
1788556958.277739 args_parse_flag_argument: -N = Break pane to a new window
1788556958.277745 args_parse_flags: next !
1788556958.277751 args_parse: flags end at 3 of 5
1788556958.277757 args_parse: 3 = ! (type STRING)
1788556958.277763 args_parse: 4 = break-pane (type COMMANDS)
1788556958.277771 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1788556958.277778 cmdq_get_command: [bind-key/0x55e89ab07780] group 38
1788556958.277784 cmdq_append <global>: [bind-key/0x55e89ab07780]
1788556958.277790 yylex_token: end at WS
1788556958.277796 yylex_token: bind
1788556958.277811 yylex_token: end at WS
1788556958.277817 yylex_token: -N
1788556958.277823 yylex_token: end at WS
1788556958.277829 yylex_token: Split window vertically
1788556958.277835 yylex_token: end at WS
1788556958.277841 yylex_token: "
1788556958.277847 yylex_token: end at WS
1788556958.277853 yylex_token: split-window
1788556958.277860 cmd_parse_build_commands 0:0: bind
1788556958.277866 cmd_parse_build_commands 0:1: -N
1788556958.277872 cmd_parse_build_commands 0:2: Split window vertically
1788556958.277878 cmd_parse_build_commands 0:3: "
1788556958.277884 cmd_parse_build_commands 0:4 0:0: split-window
1788556958.277891 cmd_parse_build_commands 0:0: split-window
1788556958.277898 args_parse: flags end at 1 of 1
1788556958.277905 cmd_parse_build_commands: split-window
1788556958.277911 args_parse_flags: next -N
1788556958.277917 args_parse_flag_argument: -N = Split window vertically
1788556958.277923 args_parse_flags: next "
1788556958.277929 args_parse: flags end at 3 of 5
1788556958.277935 args_parse: 3 = " (type STRING)
1788556958.277942 args_parse: 4 = split-window (type COMMANDS)
1788556958.277950 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1788556958.277956 cmdq_get_command: [bind-key/0x55e89ab07d10] group 46
1788556958.277962 cmdq_append <global>: [bind-key/0x55e89ab07d10]
1788556958.277968 yylex_token: end at WS
1788556958.277977 yylex_token: bind
1788556958.277986 yylex_token: end at WS
1788556958.277992 yylex_token: -N
1788556958.277998 yylex_token: end at WS
1788556958.278004 yylex_token: List all paste buffers
1788556958.278010 yylex_token: end at WS
1788556958.278015 yylex_token: #
1788556958.278021 yylex_token: end at WS
1788556958.278027 yylex_token: list-buffers
1788556958.278034 cmd_parse_build_commands 0:0: bind
1788556958.278040 cmd_parse_build_commands 0:1: -N
1788556958.278046 cmd_parse_build_commands 0:2: List all paste buffers
1788556958.278052 cmd_parse_build_commands 0:3: #
1788556958.278058 cmd_parse_build_commands 0:4 0:0: list-buffers
1788556958.278068 cmd_parse_build_commands 0:0: list-buffers
1788556958.278074 args_parse: flags end at 1 of 1
1788556958.278081 cmd_parse_build_commands: list-buffers
1788556958.278087 args_parse_flags: next -N
1788556958.278093 args_parse_flag_argument: -N = List all paste buffers
1788556958.278099 args_parse_flags: next #
1788556958.278104 args_parse: flags end at 3 of 5
1788556958.278110 args_parse: 3 = # (type STRING)
1788556958.278118 args_parse: 4 = list-buffers (type COMMANDS)
1788556958.278125 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1788556958.278132 cmdq_get_command: [bind-key/0x55e89ab081f0] group 54
1788556958.278138 cmdq_append <global>: [bind-key/0x55e89ab081f0]
1788556958.278144 yylex_token: end at WS
1788556958.278150 yylex_token: bind
1788556958.278156 yylex_token: end at WS
1788556958.278161 yylex_token: -N
1788556958.278167 yylex_token: end at WS
1788556958.278175 yylex_token: Rename current session
1788556958.278180 yylex_token: end at WS
1788556958.278186 yylex_token: $
1788556958.278192 yylex_token: end at WS
1788556958.278198 yylex_token: command-prompt
1788556958.278204 yylex_token: end at WS
1788556958.278210 yylex_token: -I#S
1788556958.278216 yylex_token: end at WS
1788556958.278222 yylex_token: rename-session
1788556958.278228 yylex_token: end at WS
1788556958.278234 yylex_token: --
1788556958.278241 yylex_token: end at WS
1788556958.278246 yylex_token: %%
1788556958.278253 cmd_parse_build_commands 0:0: bind
1788556958.278259 cmd_parse_build_commands 0:1: -N
1788556958.278266 cmd_parse_build_commands 0:2: Rename current session
1788556958.278272 cmd_parse_build_commands 0:3: $
1788556958.278278 cmd_parse_build_commands 0:4 0:0: command-prompt
1788556958.278284 cmd_parse_build_commands 0:4 0:1: -I#S
1788556958.278290 cmd_parse_build_commands 0:4 0:2 0:0: rename-session
